,text,labels
42,আর রিপোর্টটি প্রকাশ করে প্রথম আলো করেছে আমাদের পরিপূর্ণ  !!,4
43,আর রিপোর্টটি প্রকাশ করে প্রথম আলো করেছে আমাদের পরিপূর্ণ  !!,0
44,"*এমন ভিডিও আর দেখিনি এখন দেখতেছি আবার, ধন্যবাদ চ্যানেলের সবাইকে*",0
45,"*এমন ভিডিও আর দেখিনি এখন দেখতেছি আবার, ধন্যবাদ চ্যানেলের সবাইকে*",4
46,অফার টা তো ভাল কিন্তু মেয়াদ কম,0
47,অফার টা তো ভাল কিন্তু মেয়াদ কম,1
48,"বাঁ দিকে ঝাঁপিয়ে নয়, তার ডান দিকে ঝাঁপিয়ে দারুণ এক ক্যাচ বানালেন মুশফিকুর রহিম ।",4
49,"বাঁ দিকে ঝাঁপিয়ে নয়, তার ডান দিকে ঝাঁপিয়ে দারুণ এক ক্যাচ বানালেন মুশফিকুর রহিম ।",0
50,মিয়া খলিফা এখন আর অন্ধকার জগতে নাই।,0
51,মিয়া খলিফা এখন আর অন্ধকার জগতে নাই।,5
52,"আমি রাত ১২টার দিকেই ঘুমিয়ে পড়েছিলাম, তবে টিমের অনেকেই রাতে আরেকদফা সী-বিচে গিয়ে গানবাজনায় মেতেছিলেন",0
53,"আমি রাত ১২টার দিকেই ঘুমিয়ে পড়েছিলাম, তবে টিমের অনেকেই রাতে আরেকদফা সী-বিচে গিয়ে গানবাজনায় মেতেছিলেন",5
54,ভাইয়া ২০১৭ তে ২০০০০ মানে মিডিয়াম দাম এ কোন ফোন গুলা ভালো আছে এই নিয়ে একটা ভিডিও বানালে ভালো হতো,0
55,ভাইয়া ২০১৭ তে ২০০০০ মানে মিডিয়াম দাম এ কোন ফোন গুলা ভালো আছে এই নিয়ে একটা ভিডিও বানালে ভালো হতো,5
56,মাএ পাঁচ দিনে পেয়েছি,0
57,মাএ পাঁচ দিনে পেয়েছি,5
58,সমস্ত মানুষকে অন্ধকারমুক্ত করার দৃঢ় অঙ্গিকার নিয়ে লিখে যাচ্ছিলেন,0
59,সমস্ত মানুষকে অন্ধকারমুক্ত করার দৃঢ় অঙ্গিকার নিয়ে লিখে যাচ্ছিলেন,5
60,"উ মুক্তি পাওয়ার সাত মাস পরে অবশেষে জুলাইয়ের ২ তারিখে ওএসটির জন্য ১০০,০০০ তম এপ্লিকেশন চলে এসেছে",0
61,"উ মুক্তি পাওয়ার সাত মাস পরে অবশেষে জুলাইয়ের ২ তারিখে ওএসটির জন্য ১০০,০০০ তম এপ্লিকেশন চলে এসেছে",4
62,ভাষায় দক্ষতা একটু ভালো এবং অন্যদের সাথে যোগাযোগ স্থাপন করতে সক্ষম হয়,0
63,ভাষায় দক্ষতা একটু ভালো এবং অন্যদের সাথে যোগাযোগ স্থাপন করতে সক্ষম হয়,5
64,জয় মুসলিম দের হবে,0
65,জয় মুসলিম দের হবে,5
66,"৭ টা ১৫ বাজে, আরো মিনিট পনেরো গড়িয়ে নেয়া যাবে",0
67,"৭ টা ১৫ বাজে, আরো মিনিট পনেরো গড়িয়ে নেয়া যাবে",5
68,ভালই মনে হছে দেখা যাক কতদিন টেকে,0
69,ভালই মনে হছে দেখা যাক কতদিন টেকে,5
70,২০১৯ বি পিএল এর সেরা কেচ👌👌👌👌💐💐,0
71,২০১৯ বি পিএল এর সেরা কেচ👌👌👌👌💐💐,4
72,"সে ভালই জানে, বোনও নেই; ভাগাভাগিও নেই।",0
73,"সে ভালই জানে, বোনও নেই; ভাগাভাগিও নেই।",5
74,"সুকরান জাযিলান,,জাযাকাল্লাহ খায়ের,,",0
75,"সুকরান জাযিলান,,জাযাকাল্লাহ খায়ের,,",5
76,দেখবেন যারা আসলে পাওয়ার যোগ্য তারা পাবেন।,0
77,দেখবেন যারা আসলে পাওয়ার যোগ্য তারা পাবেন।,5
78,"পেন ড্রাইভ মিস করলেউ টি-শার্ট এর অরডার দিয়ে ফেলসি, ১৫ দিনে প্যে যাবো ইনশাল্লাহ",0
79,"পেন ড্রাইভ মিস করলেউ টি-শার্ট এর অরডার দিয়ে ফেলসি, ১৫ দিনে প্যে যাবো ইনশাল্লাহ",5
80,"আল্লাহ এক ও অদিতীও,তার কোন শরীক নাই।",0
81,"আল্লাহ এক ও অদিতীও,তার কোন শরীক নাই।",5
82,"অবসর সময়ে টিউটোরিয়াল, গেমপ্লে, ট্রেইলার দেখেই সময় পার করি। ",0
83,"অবসর সময়ে টিউটোরিয়াল, গেমপ্লে, ট্রেইলার দেখেই সময় পার করি। ",5
84,সঠিক সময় ক্যান্সার এর সম্ভাবনা নির্নয়ের মাধ্যমে এই ক্যান্সার প্রতিরোধ করা সম্ভব খুব সহজেই,0
85,সঠিক সময় ক্যান্সার এর সম্ভাবনা নির্নয়ের মাধ্যমে এই ক্যান্সার প্রতিরোধ করা সম্ভব খুব সহজেই,4
86,সম্য এবং সম্প্রীতির ভারত হউক এটাই প্রত্যাশা।,0
87,সম্য এবং সম্প্রীতির ভারত হউক এটাই প্রত্যাশা।,5
88,"তাই, প্রতিষ্ঠানটির এমন সিদ্ধান্তে ভালো কিছু আশা করা যেতেই পারে",0
89,"তাই, প্রতিষ্ঠানটির এমন সিদ্ধান্তে ভালো কিছু আশা করা যেতেই পারে",5
90,গুগলে পাওয়া যায় না এমন কিছু নেই,0
91,গুগলে পাওয়া যায় না এমন কিছু নেই,5
92,"বস বস , দেখেন কি সুন্দর করে বুঝলাম কিন্তু স্টেটমেন্ট মেরে দিলেন শুরুতেই",0
93,"বস বস , দেখেন কি সুন্দর করে বুঝলাম কিন্তু স্টেটমেন্ট মেরে দিলেন শুরুতেই",1
94,সাজিয়াদের এখানে ক্রিসমাসের সময় ‘আন্তর্জাতিক ক্রিসমাস’ মেলা হয়,0
95,সাজিয়াদের এখানে ক্রিসমাসের সময় ‘আন্তর্জাতিক ক্রিসমাস’ মেলা হয়,5
96,ক্যান্সারের গবেষণাতে বিপুল পরিমাণ টাকা খরচ করেন এবং তিনি বিশ্বাস করতেন খুব দ্রুত এই সমস্যার সমাধান হবে,0
97,ক্যান্সারের গবেষণাতে বিপুল পরিমাণ টাকা খরচ করেন এবং তিনি বিশ্বাস করতেন খুব দ্রুত এই সমস্যার সমাধান হবে,5
98,তাছাড়া আমরা বাংলাদেশে প্রথম প্রতিষ্ঠান যারা অটিজম জেনেটিক টেস্ট বাংলাদেশে বসে করানোর প্রযুক্তি নিয়ে এসেছি,0
99,তাছাড়া আমরা বাংলাদেশে প্রথম প্রতিষ্ঠান যারা অটিজম জেনেটিক টেস্ট বাংলাদেশে বসে করানোর প্রযুক্তি নিয়ে এসেছি,4
100,তাই আল্লাহ সকলে সুস্থ্যতা দান ক রুমন।,0
101,তাই আল্লাহ সকলে সুস্থ্যতা দান ক রুমন।,5
102,বিদেশী মেয়ে হয়েও এত মায়া স্বামীর জন‍্য কল্পনা করা যায়না।,0
103,বিদেশী মেয়ে হয়েও এত মায়া স্বামীর জন‍্য কল্পনা করা যায়না।,4
104,মোটামুটি ভালো 3দিন হলো আরো কিছু দিন ব্যবহার করলে বুঝতে পারবো সারভিস কেমন,0
105,মোটামুটি ভালো 3দিন হলো আরো কিছু দিন ব্যবহার করলে বুঝতে পারবো সারভিস কেমন,5
106,"এখন পর্যন্ত ভালোই,বাকিটা পরে দেখে জানাবো",0
107,"এখন পর্যন্ত ভালোই,বাকিটা পরে দেখে জানাবো",5
108,ইভ্যালিময় লাইফের কিছু অংশ,0
109,ইভ্যালিময় লাইফের কিছু অংশ,5
110,পরিস্কার পরিচ্চন্ন লোক মনে হয় তারা,0
111,পরিস্কার পরিচ্চন্ন লোক মনে হয় তারা,5
112,এত সুন্দর একটা বাস্তব গল্প ছোখের পানি ছলে আসছে,0
113,এত সুন্দর একটা বাস্তব গল্প ছোখের পানি ছলে আসছে,1
114,‘ব্লগার রাজীব হত্যার রায় আইনের শাসন প্রতিষ্ঠায় সহায়ক হবে’,0
115,‘ব্লগার রাজীব হত্যার রায় আইনের শাসন প্রতিষ্ঠায় সহায়ক হবে’,5
116,পারবেন বলেই মনে হয়,0
117,পারবেন বলেই মনে হয়,5
118,"ধন্যবাদ রাসেল ভাইকে এটা দিয়ে আমার ২য় প্রডাক্ট, গুনগত মান খুব ভালো,,,১৫ দিনের মধ্যে পেয়ে গেলাম,,কিন্তু সাইকেল টার বেল হন'টা সাইকেলের মেধ্যে পেলাম না,,,",0
119,"ধন্যবাদ রাসেল ভাইকে এটা দিয়ে আমার ২য় প্রডাক্ট, গুনগত মান খুব ভালো,,,১৫ দিনের মধ্যে পেয়ে গেলাম,,কিন্তু সাইকেল টার বেল হন'টা সাইকেলের মেধ্যে পেলাম না,,,",1
120,"মানুষ নতুন প্রত্যয়ে বলছে, তাকে অশেষ সংগ্রাম করে জীবনের অক্ষমতায় উত্তীর্ণ হতে হবে",0
121,"মানুষ নতুন প্রত্যয়ে বলছে, তাকে অশেষ সংগ্রাম করে জীবনের অক্ষমতায় উত্তীর্ণ হতে হবে",5
122,"বয়োম এর চেয়ে এটা কিনলে সাশ্রয়ী এবং চামচ ও ফ্রি তাই কেনা, বাইরে থেকেও দাম কম তাই দারাজ থেকেই নেই।",0
123,"বয়োম এর চেয়ে এটা কিনলে সাশ্রয়ী এবং চামচ ও ফ্রি তাই কেনা, বাইরে থেকেও দাম কম তাই দারাজ থেকেই নেই।",5
124,সীমার মাঝে অসীমকে অনুভব করতে হবে,0
125,সীমার মাঝে অসীমকে অনুভব করতে হবে,5
126,"- খান, এটা ডায়াবেটিক বিস্কিট",0
127,"- খান, এটা ডায়াবেটিক বিস্কিট",5
128,ক্রিকেট থেকে বড় একটা চোর বিদায় নিলো।,0
129,ক্রিকেট থেকে বড় একটা চোর বিদায় নিলো।,2
130,কুমিল্লা র নায়ক তামিম,0
131,কুমিল্লা র নায়ক তামিম,5
132,আবারো সেই খুদে জাদুকর,0
133,আবারো সেই খুদে জাদুকর,4
134,বিজ্ঞানের দুনিয়াতে অসম্ভব বলে কিছু নেই,0
135,বিজ্ঞানের দুনিয়াতে অসম্ভব বলে কিছু নেই,4
136,১০০ ভাগ সমর্থন করছি।,0
137,১০০ ভাগ সমর্থন করছি।,5
138,"ভাল করে খেয়ে এসো কিন্তু,,,",0
139,"ভাল করে খেয়ে এসো কিন্তু,,,",5
140,"সত্যিকারের ভালবাসা কখনো মরেনা,",0
141,"সত্যিকারের ভালবাসা কখনো মরেনা,",5
142,এগিয়ে যাক বাংলাদেশ ছোট বড় অর্জনের মধ্য দিয়ে ।,0
143,এগিয়ে যাক বাংলাদেশ ছোট বড় অর্জনের মধ্য দিয়ে ।,5
144,গুরুর কাজ জীবনশাস্ত্র পাঠ করার প্রেরণা দেওয়া।,0
145,গুরুর কাজ জীবনশাস্ত্র পাঠ করার প্রেরণা দেওয়া।,5
146,এটা দেহের ওজন বাড়াতে বেশ অবদান রাখে,0
147,এটা দেহের ওজন বাড়াতে বেশ অবদান রাখে,5
148,আর এটিকেই সবুজ বিপ্লব বলে,0
149,আর এটিকেই সবুজ বিপ্লব বলে,5
150,পেয়েছি ১৯ দিনের মধ্যে ক্লিয়ার শ্যাম্পু,0
151,পেয়েছি ১৯ দিনের মধ্যে ক্লিয়ার শ্যাম্পু,5
152,"গত ৫বারের মধ্যে ৩বারই আমেরিকার সেক্টেটারী অব স্টেটের দায়িত্ব পালন করেছেন কোন নারী (বর্তমানে, কন্ডোলিৎসা রাইস)",0
153,"গত ৫বারের মধ্যে ৩বারই আমেরিকার সেক্টেটারী অব স্টেটের দায়িত্ব পালন করেছেন কোন নারী (বর্তমানে, কন্ডোলিৎসা রাইস)",4
154,"কাজের কথা হল, এই মুক্ত পৃথিবীতে একা মানুষ আর একা নেই",0
155,"কাজের কথা হল, এই মুক্ত পৃথিবীতে একা মানুষ আর একা নেই",5
156,"অবশ্য, ভবিষ্যতে হয়ত এরকম কোনো ট্রিক চলে আসতে পারে যা সাধারণ পিসিতে উইন্ডোজ ১০ এর আলটিমেট পারফরমেন্স ফিচার চালু করতে দেবে",0
157,"অবশ্য, ভবিষ্যতে হয়ত এরকম কোনো ট্রিক চলে আসতে পারে যা সাধারণ পিসিতে উইন্ডোজ ১০ এর আলটিমেট পারফরমেন্স ফিচার চালু করতে দেবে",5
158,সব জেলা হাসপাতালে আইসিইউ ইউনিট স্থাপনে প্রধানমন্ত্রীর নির্দেশ,0
159,সব জেলা হাসপাতালে আইসিইউ ইউনিট স্থাপনে প্রধানমন্ত্রীর নির্দেশ,5
160,আশা করি সবায় ভালো আছেন,0
161,আশা করি সবায় ভালো আছেন,5
162,বায়ার্ন মিউনিখ এর এত ফ্যান বাংলাদেশের ।,0
163,বায়ার্ন মিউনিখ এর এত ফ্যান বাংলাদেশের ।,4
164,চীফ হয়ত পছন্দ করতে পারেন কিছু কিছু আইডিয়া,5
165,চীফ হয়ত পছন্দ করতে পারেন কিছু কিছু আইডিয়া,0
166,তবে সবকিছু বিবেচনায় সন্তোষজনক,0
167,তবে সবকিছু বিবেচনায় সন্তোষজনক,5
168,"প্রোডাক্ট কোয়ালিটি ভালো আছে দেখতে সুন্দর আর সহজে বহনযোগ্য, কিন্তু সাউন্ড কোয়ালিটি এর জন্য রেটিং ৫★ দিতে পারলাম না!",0
169,"প্রোডাক্ট কোয়ালিটি ভালো আছে দেখতে সুন্দর আর সহজে বহনযোগ্য, কিন্তু সাউন্ড কোয়ালিটি এর জন্য রেটিং ৫★ দিতে পারলাম না!",1
170,ভিডিও বার্তাটি দেখে খুব আপ্লুত হয়ে গেছি!,0
171,ভিডিও বার্তাটি দেখে খুব আপ্লুত হয়ে গেছি!,1
172,"য় দিন শেষ- হারলেও বাংলাদেশ, জিতলেও বাংলাদেশ।",5
173,"য় দিন শেষ- হারলেও বাংলাদেশ, জিতলেও বাংলাদেশ।",0
174,‘লুমিপাফ’ নামক এসব রোবট মাছ অ্যাকুরিয়াম থেকে তারহীন পদ্ধতিতেই নিজের জন্য প্রয়োজনীয় বিদ্যুৎ সংগ্রহ করে নেবে,4
175,‘লুমিপাফ’ নামক এসব রোবট মাছ অ্যাকুরিয়াম থেকে তারহীন পদ্ধতিতেই নিজের জন্য প্রয়োজনীয় বিদ্যুৎ সংগ্রহ করে নেবে,0
176,মাত্র ১ মিনিটের মধ্যেই ব্রানোতে পণ্য অর্ডার করা যায়,0
177,মাত্র ১ মিনিটের মধ্যেই ব্রানোতে পণ্য অর্ডার করা যায়,4
178,প্রতিটি ঠিকানা যাচাই করার জন্য গড়ে ৫৪ সেন্ট (এক ডলারের অর্ধেক বলা যায়) দিচ্ছে অ্যাপল,4
179,প্রতিটি ঠিকানা যাচাই করার জন্য গড়ে ৫৪ সেন্ট (এক ডলারের অর্ধেক বলা যায়) দিচ্ছে অ্যাপল,0
180,"৬১৩৭ টাকায় এই টিভি, জাস্ট চিন্তা করা যায় না",4
181,"৬১৩৭ টাকায় এই টিভি, জাস্ট চিন্তা করা যায় না",0
182,এত কম দামে বেস্ট টিভি বলা যায়,4
183,এত কম দামে বেস্ট টিভি বলা যায়,0
184,এত কম দামে এত ভালো প্রডাক্ট আশার বাইরে,0
185,এত কম দামে এত ভালো প্রডাক্ট আশার বাইরে,4
186,এখন আপনি বিভিন্ন সাইটের এড্রেস শর্টকাট আকারে টাস্কবারে পিন করে রেখে দ্রুত সাইটগুলো ভিজিট করতে পারবেন,5
187,এখন আপনি বিভিন্ন সাইটের এড্রেস শর্টকাট আকারে টাস্কবারে পিন করে রেখে দ্রুত সাইটগুলো ভিজিট করতে পারবেন,0
188,চলেন সবাই খুশীতে লাফায় লাফায় নাচি!,2
189,চলেন সবাই খুশীতে লাফায় লাফায় নাচি!,0
190,১৩ মিনিটে ইনিয়েস্তার ভলি অসাধারণ দক্ষতায় বাঁচিয়ে দিল আব্বিয়াতি,0
191,১৩ মিনিটে ইনিয়েস্তার ভলি অসাধারণ দক্ষতায় বাঁচিয়ে দিল আব্বিয়াতি,4
192,এই আসরের সেরা ক্যাচ,4
193,এই আসরের সেরা ক্যাচ,0
194,ইনানী যাওয়ার পথে ডানদিকে সাগরের হালকা সবুজ ও নীলাভ জলরাশি এবং বামদিকে সবুজ পাহাড়ের অপূর্ব দৃশ্য দেখে বিস্ময়ে হা হয়ে যাওয়া ছাড়া কোনো উপায় নেই,4
195,ইনানী যাওয়ার পথে ডানদিকে সাগরের হালকা সবুজ ও নীলাভ জলরাশি এবং বামদিকে সবুজ পাহাড়ের অপূর্ব দৃশ্য দেখে বিস্ময়ে হা হয়ে যাওয়া ছাড়া কোনো উপায় নেই,0
196,"কীভাবে রূপ বদলাচ্ছে নতুন করোনাভাইরাস, দেখালেন দুই বাঙালি",0
197,"কীভাবে রূপ বদলাচ্ছে নতুন করোনাভাইরাস, দেখালেন দুই বাঙালি",4
198,ঢাকা চেষ্টা করুক কলকাতার মত উন্নত হতে।,2
199,ঢাকা চেষ্টা করুক কলকাতার মত উন্নত হতে।,0
200,অর্থাৎ জিততে পারলে সে তিনগুন পাবে,0
201,অর্থাৎ জিততে পারলে সে তিনগুন পাবে,4
202,বর্তমান এমপি মন্ত্রীদের মত ব্যারিস্টার সুমন অন্তত চুরির ধান্দায় ব্যাস্ত নন!!,1
203,বর্তমান এমপি মন্ত্রীদের মত ব্যারিস্টার সুমন অন্তত চুরির ধান্দায় ব্যাস্ত নন!!,2
204,বর্তমান এমপি মন্ত্রীদের মত ব্যারিস্টার সুমন অন্তত চুরির ধান্দায় ব্যাস্ত নন!!,0
205,"আমি বুদ্ধিমান লোক, তাই উলুবনে মুক্তো না ছড়িয়ে মুক্তো বনেই মুক্তো ছড়াই",0
206,"আমি বুদ্ধিমান লোক, তাই উলুবনে মুক্তো না ছড়িয়ে মুক্তো বনেই মুক্তো ছড়াই",2
207,এ্যাতটাই চমৎকার নিরাপদ পরিবেশ যে গবেষকগণ তাদের ৬০ হাজার ডলার একটা স্যূটকেসে ভাড়া ঘরের রাধুনীর জিম্মায় রেখে নিশ্চিন্তে বের হয়ে যেতেন,4
208,এ্যাতটাই চমৎকার নিরাপদ পরিবেশ যে গবেষকগণ তাদের ৬০ হাজার ডলার একটা স্যূটকেসে ভাড়া ঘরের রাধুনীর জিম্মায় রেখে নিশ্চিন্তে বের হয়ে যেতেন,0
209,"রাতটা যে শুধুমাত্র চ্যাম্পিয়ন্স লীগে টিকে থাকার লড়াইয়ে জেতার রাতই নয়, ক্যান্সারের সাথে যুদ্ধ করা একজন মানুষের মুখে হাসি ফুটানোরও রাত",1
210,"রাতটা যে শুধুমাত্র চ্যাম্পিয়ন্স লীগে টিকে থাকার লড়াইয়ে জেতার রাতই নয়, ক্যান্সারের সাথে যুদ্ধ করা একজন মানুষের মুখে হাসি ফুটানোরও রাত",0
211,চলুন দেখি কীভাবে আপনার এন্ড্রয়েড ডিভাইসে অ্যাপল মিউজিক সেবা উপভোগ করবেন,0
212,চলুন দেখি কীভাবে আপনার এন্ড্রয়েড ডিভাইসে অ্যাপল মিউজিক সেবা উপভোগ করবেন,4
213,"ক্রিকেট বিশ্ব থেকে একটা চোর,বাটপার,ফিক্সাররের বিদায় হলো।",2
214,"ক্রিকেট বিশ্ব থেকে একটা চোর,বাটপার,ফিক্সাররের বিদায় হলো।",0
215,"স্যার, আপনারা কিভাবে এত সুন্দর জোক্স বলেন?",0
216,"স্যার, আপনারা কিভাবে এত সুন্দর জোক্স বলেন?",4
217,কিন্তু অ্যাপল মিউজিকের এক্ষেত্রে ব্যতিক্রম,0
218,কিন্তু অ্যাপল মিউজিকের এক্ষেত্রে ব্যতিক্রম,4
219,আপনার মোবাইলে কোনও নোটিফিকেশন এলে মাছগুলো বিশেষভাবে আলো জ্বেলে সংকেত দেবে,4
220,আপনার মোবাইলে কোনও নোটিফিকেশন এলে মাছগুলো বিশেষভাবে আলো জ্বেলে সংকেত দেবে,0
221,অভিশাস্য হলেও সত্য অডার করার ৭১ ঘন্টার মধ্য ঢাকার বাহিরে নরসিংদী জেলার মাধবদী থানায় ডেলিভারি পেলাম ২৩/১১/১৯ বিকাল ৪:০০ টায়,4
222,অভিশাস্য হলেও সত্য অডার করার ৭১ ঘন্টার মধ্য ঢাকার বাহিরে নরসিংদী জেলার মাধবদী থানায় ডেলিভারি পেলাম ২৩/১১/১৯ বিকাল ৪:০০ টায়,0
223,শুরু হল অসাধারণ ‘প্রেসিং ফুটবল’,4
224,শুরু হল অসাধারণ ‘প্রেসিং ফুটবল’,0
225,অবশেষে স্বপ্ন পূরন,4
226,অবশেষে স্বপ্ন পূরন,0
227,বার্সা যুগ শেষ’,0
228,বার্সা যুগ শেষ’,1
229,বার্সা যুগ শেষ’,5
230,ওদিক থেকেও রিপ্লাই আসে,0
231,ওদিক থেকেও রিপ্লাই আসে,5
232,"আলহামদুলিল্লাহ, এই প্রতিবন্ধী অ্যাপসটা আমার মোবাইলেই নাই",2
233,"আলহামদুলিল্লাহ, এই প্রতিবন্ধী অ্যাপসটা আমার মোবাইলেই নাই",0
234,"আর হ্যা, এটা সম্পূর্ণ অফলাইনে কাজ করে",0
235,"আর হ্যা, এটা সম্পূর্ণ অফলাইনে কাজ করে",5
236,অনেকটা স্মার্ট বোমের মত যা ক্যান্সার কোষগুলো ধ্বংস করে দেয়,0
237,অনেকটা স্মার্ট বোমের মত যা ক্যান্সার কোষগুলো ধ্বংস করে দেয়,4
238,আরও আছে ২৫৬ জিবি এসএসডি ও ২ ট্যারাবাইট হার্ডডিস্ক,0
239,আরও আছে ২৫৬ জিবি এসএসডি ও ২ ট্যারাবাইট হার্ডডিস্ক,4
240,অবশেষে দীর্ঘ প্রক্রিয়ার পর বহু জল্পনা কল্পনার অবসান ঘটিয়ে বাংলাদেশে মোবাইল নম্বর পোর্টেবিলিটি (এমএনপি) সুবিধা চালু হয়েছে,0
241,অবশেষে দীর্ঘ প্রক্রিয়ার পর বহু জল্পনা কল্পনার অবসান ঘটিয়ে বাংলাদেশে মোবাইল নম্বর পোর্টেবিলিটি (এমএনপি) সুবিধা চালু হয়েছে,4
242,অবশেষে মার্চ মাসের একটা প্রডাক্ট হাতে পাইলাম,0
243,অবশেষে মার্চ মাসের একটা প্রডাক্ট হাতে পাইলাম,2
244,অবশেষে মার্চ মাসের একটা প্রডাক্ট হাতে পাইলাম,1
245,বিপিএল না এটা পুরা ক্রিকেটের দুনিয়ার সেরা ক্যাচ,0
246,বিপিএল না এটা পুরা ক্রিকেটের দুনিয়ার সেরা ক্যাচ,4
247,"কারণ গেমারদের জন্য রয়েছে , যা চালু করে গেম খেললে পিসির হার্ডওয়্যার থেকে সাধারণ সময়ের চেয়ে বাড়তি সুবিধা উপভোগ করা যায়",0
248,"কারণ গেমারদের জন্য রয়েছে , যা চালু করে গেম খেললে পিসির হার্ডওয়্যার থেকে সাধারণ সময়ের চেয়ে বাড়তি সুবিধা উপভোগ করা যায়",5
249,দেশে ভাইরাল ট্রান্সপোর্ট মিডিয়া (ভিটিএম) কিট তৈরি করেছেন ডিআরআইসিএম ল্যাবের বিজ্ঞানীরা।,4
250,দেশে ভাইরাল ট্রান্সপোর্ট মিডিয়া (ভিটিএম) কিট তৈরি করেছেন ডিআরআইসিএম ল্যাবের বিজ্ঞানীরা।,0
251,সেখানে প্যারাসেইলিং নামক চমকপ্রদ এক অভিজ্ঞতা নেয়া যায়,0
252,সেখানে প্যারাসেইলিং নামক চমকপ্রদ এক অভিজ্ঞতা নেয়া যায়,4
253,"ভাই অসাধারন, কিন্তু সাউন্ড এফেক্ট টার জন্য বুঝতে কষ্ট হয়",1
254,"ভাই অসাধারন, কিন্তু সাউন্ড এফেক্ট টার জন্য বুঝতে কষ্ট হয়",0
255,জানিয়েছে প্রতিমাসে তারা ১২ মিলিয়ন ইউনিক ইউজার পাচ্ছে,4
